ToyId,Arrival_time,Duration
1,2014 1 1 0 1,5
2,2014 1 1 0 1,5
3,2014 1 1 0 1,5
4,2014 1 1 0 1,6
5,2014 1 1 0 1,6
6,2014 1 1 0 1,12
7,2014 1 1 0 1,17
8,2014 1 1 0 1,42
9,2014 1 1 0 1,52
10,2014 1 1 0 1,58
11,2014 1 1 0 2,2
12,2014 1 1 0 2,3
13,2014 1 1 0 2,3
14,2014 1 1 0 2,4
15,2014 1 1 0 2,5
16,2014 1 1 0 2,5
17,2014 1 1 0 2,6
18,2014 1 1 0 2,13
19,2014 1 1 0 2,13
20,2014 1 1 0 2,15
21,2014 1 1 0 2,18
22,2014 1 1 0 2,20
23,2014 1 1 0 2,51
24,2014 1 1 0 2,71
25,2014 1 1 0 2,110
26,2014 1 1 0 3,1
27,2014 1 1 0 3,5
28,2014 1 1 0 3,7
29,2014 1 1 0 3,8
30,2014 1 1 0 3,9
31,2014 1 1 0 3,10
32,2014 1 1 0 3,11
33,2014 1 1 0 3,64
34,2014 1 1 0 3,118
35,2014 1 1 0 4,1
36,2014 1 1 0 4,3
37,2014 1 1 0 4,3
38,2014 1 1 0 4,3
39,2014 1 1 0 4,5
40,2014 1 1 0 4,6
41,2014 1 1 0 4,7
42,2014 1 1 0 4,8
43,2014 1 1 0 4,9
44,2014 1 1 0 4,10
45,2014 1 1 0 4,13
46,2014 1 1 0 4,20
47,2014 1 1 0 4,22
48,2014 1 1 0 4,47
49,2014 1 1 0 4,53
50,2014 1 1 0 4,74
51,2014 1 1 0 4,108
52,2014 1 1 0 5,2
53,2014 1 1 0 5,2
54,2014 1 1 0 5,3
55,2014 1 1 0 5,6
56,2014 1 1 0 5,6
57,2014 1 1 0 5,9
58,2014 1 1 0 5,11
59,2014 1 1 0 5,12
60,2014 1 1 0 5,20
61,2014 1 1 0 5,20
62,2014 1 1 0 5,29
63,2014 1 1 0 5,39
64,2014 1 1 0 5,124
65,2014 1 1 0 6,2
66,2014 1 1 0 6,5
67,2014 1 1 0 6,6
68,2014 1 1 0 6,6
69,2014 1 1 0 6,7
70,2014 1 1 0 6,8
71,2014 1 1 0 6,9
72,2014 1 1 0 6,16
73,2014 1 1 0 6,25
74,2014 1 1 0 6,29
75,2014 1 1 0 6,37
76,2014 1 1 0 6,38
77,2014 1 1 0 7,3
78,2014 1 1 0 7,8
79,2014 1 1 0 7,14
80,2014 1 1 0 7,19
81,2014 1 1 0 7,27
82,2014 1 1 0 8,3
83,2014 1 1 0 8,4
84,2014 1 1 0 8,6
85,2014 1 1 0 8,7
86,2014 1 1 0 8,8
87,2014 1 1 0 8,13
88,2014 1 1 0 8,17
89,2014 1 1 0 8,17
90,2014 1 1 0 8,23
91,2014 1 1 0 8,25
92,2014 1 1 0 8,27
93,2014 1 1 0 8,44
94,2014 1 1 0 8,56
95,2014 1 1 0 9,3
96,2014 1 1 0 9,3
97,2014 1 1 0 9,4
98,2014 1 1 0 9,5
99,2014 1 1 0 9,5
100,2014 1 1 0 9,7
